"","All.obs","GIG","MarineRegion","Cat","physChemCatCW","physChemCatTW","ICcode.TRAC","ICcodeTW","ICtypeTW","ICcodeCW","ICtypeCW","Country","RBD","NatType","physChemQECode","physChemQE","physChemText","Note1_PhysChemText","physChemGMBoundary","SumMetric","Note2_Season","ValueStd","ValueUpStd","UnitUsed","Note3_stdUnits","RangeRep","ReasonRange","SalinityRange","Salinity1","Salinity2","DepthZone","Comment","cfMS","Ver","Ver.r"
"197",7231,"NEA","Celtic Seas","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK11","TURC",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","99th percentile",NA,2.521,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"198",7232,"NEA","Celtic Seas","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK11","TURT",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","99th percentile",NA,2.521,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"199",7233,"NEA","Celtic Seas","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK11","VTURC",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","99th percentile",NA,3.782,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"200",7234,"NEA","Celtic Seas","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK11","VTURT",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","99th percentile",NA,3.782,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"201",7241,"NEA","Greater North Sea","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK03","SAL=35CT",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen",NA,"Yes","5th percentile",NA,4,NA,"mg/L",NA,FALSE,NA,NA,35,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"202",7242,"NEA","Greater North Sea","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK03","SAL<35CT",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen",NA,"Yes","5th percentile",NA,4.16,4.86,"mg/L",NA,TRUE,"salinity range","5 - (0.028*salinity)",30,5,NA,"adjust to salinity",NA,"Ver7e_revised","ver3 final"
"203",7281,"NEA","Greater North Sea","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK03","CLEC",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","winter",NA,0.252,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"204",7282,"NEA","Greater North Sea","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK03","ITURT",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","99th percentile",NA,0.98,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"205",7283,"NEA","Greater North Sea","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK03","TURT",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","99th percentile",NA,2.521,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"206",7284,"NEA","Greater North Sea","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,"CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","UK","UK03","VTURT",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","99th percentile",NA,3.782,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"207",7285,"NEA","Greater North Sea","TW","NO","YES","TW-NEA11","TW-NEA11","TW-NEA11 - North East Atlantic, transitional waters",NA,NA,"UK","UK03","CLET",21,"QE3-1-6-4 EEA_3161-05-5 Total inorganic nitrogen","Total Inorganic N",NA,"Yes","winter",NA,0.42,NA,"mgN/L","We standardised your Value using a factor of 0.014007 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"208",7300,"NEA","Bay of Biscay and Iberian coast","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,"inapplicable","PT","A-T-P/P","PTRH9",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"No","95th percentile",NA,0.8,6,"m",NA,TRUE,"subType",NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"209",7303,"NEA","Bay of Biscay and Iberian coast","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,"inapplicable","PT","A-T-P/P","PTRH9",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"No","95th percentile",NA,0.452,NA,"mgN/L","We standardised your Value using a factor of 0.225806452 to convert from units of   mg{NO3}/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"210",7304,"NEA","Bay of Biscay and Iberian coast","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,"inapplicable","PT","A-T-P/P","PTRH9",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"No","95th percentile",NA,70,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg{P}/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"211",7318,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH1",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"No","90th percentile",NA,0.13,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"212",7323,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH1",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"No","90th percentile",NA,20,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg{P}/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"213",7337,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH8",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N","Please select reason for range in column ReasonRange","No","90th percentile",NA,0.13,0.7,"mgN/L",NA,TRUE,"subType",NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"214",7342,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH8",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate","Please select reason for range in column ReasonRange","No","90th percentile",NA,20,500,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg{P}/L",TRUE,"subType",NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"215",7356,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH7",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"No","90th percentile",NA,0.13,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"216",7361,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH7",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"No","90th percentile",NA,20,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg{P}/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"217",7375,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH6",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"No","90th percentile",NA,0.13,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"218",7380,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH6",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"No","90th percentile",NA,20,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg{P}/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"219",7413,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH4A",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"No","90th percentile",NA,0.13,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"220",7418,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH4A",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"No","90th percentile",NA,20,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg{P}/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"221",7432,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH3",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"No","90th percentile",NA,0.13,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"222",7437,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH3",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"No","90th percentile",NA,20,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg{P}/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"223",7451,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH2",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"No","90th percentile",NA,0.13,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"224",7456,"NEA","Bay of Biscay and Iberian coast","CW","YES","NO","CW-NEA1/26",NA,NA,"CW-NEA1/26","CW-NEA1/26 - North East Atlantic, open oceanic or enclosed seas, exposed or sheltered, euhaline, shallow (< 30 m), microtidal or mesotidal, fully mixed or partly stratified","PT","All","PTRH2",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"No","90th percentile",NA,20,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg{P}/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"225",7667,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L7","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2,NA,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"226",7668,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L8","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2,NA,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"227",7669,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L9","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2,NA,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"228",7670,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L10","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2,NA,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"229",7683,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L7","BG2000",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen",NA,"Yes","AA-EQS",NA,6,NA,"mg/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"230",7684,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L8","BG2000",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen",NA,"Yes","AA-EQS",NA,6,NA,"mg/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"231",7685,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L9","BG2000",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen",NA,"Yes","AA-EQS",NA,6,NA,"mg/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"232",7686,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L10","BG2000",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen",NA,"Yes","AA-EQS",NA,6,NA,"mg/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"233",7748,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L7","BG2000",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","AA-EQS",NA,2.5,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"234",7749,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L8","BG2000",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","AA-EQS",NA,2.5,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"235",7750,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L9","BG2000",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","AA-EQS",NA,2.5,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"236",7751,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L10","BG2000",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","AA-EQS",NA,2.5,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"237",7772,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L7","BG2000",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","AA-EQS",NA,75,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"238",7773,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L8","BG2000",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","AA-EQS",NA,75,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"239",7774,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L9","BG2000",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","AA-EQS",NA,75,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"240",7775,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L10","BG2000",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","AA-EQS",NA,75,NA,"ÂµgP/L","We standardised your Value using a factor of 1000 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"241",7796,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L7","BG2000",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"Yes","AA-EQS",NA,2,NA,"mgN/L","We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"242",7797,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L8","BG2000",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"Yes","AA-EQS",NA,2,NA,"mgN/L","We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"243",7798,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L9","BG2000",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"Yes","AA-EQS",NA,2,NA,"mgN/L","We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"244",7799,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L10","BG2000",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"Yes","AA-EQS",NA,2,NA,"mgN/L","We standardised your Value using a factor of 0.225806452 to convert from units of  mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"245",7856,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L7","BG2000",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"Yes","AA-EQS",NA,60,NA,"ÂµgP/L","We standardised your Value using a factor of 326.2 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"246",7857,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L8","BG2000",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"Yes","AA-EQS",NA,60,NA,"ÂµgP/L","We standardised your Value using a factor of 326.2 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"247",7858,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L9","BG2000",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"Yes","AA-EQS",NA,60,NA,"ÂµgP/L","We standardised your Value using a factor of 326.2 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"248",7859,"BLA","Black Sea","TW","NO","YES","inapplicable","inapplicable","inapplicable",NA,NA,"BG","L10","BG2000",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"Yes","AA-EQS",NA,60,NA,"ÂµgP/L","We standardised your Value using a factor of 326.2 to convert from units of   mg/L",FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"249",7861,"BLA","Black Sea","CW","YES","NO","CW-BL1",NA,NA,"CW-BL1","CW-BL1 - Black Sea, mesohaline, microtidal, shallow, moderately exposed, mixed substratum","BG","CW3","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2.6,3.7,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"250",7862,"BLA","Black Sea","CW","YES","NO","CW-BL1",NA,NA,"CW-BL1","CW-BL1 - Black Sea, mesohaline, microtidal, shallow, moderately exposed, mixed substratum","BG","CW1N","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2.6,3.7,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"251",7863,"BLA","Black Sea","CW","YES","NO","CW-BL1",NA,NA,"CW-BL1","CW-BL1 - Black Sea, mesohaline, microtidal, shallow, moderately exposed, mixed substratum","BG","CW8","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2.6,3.7,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"252",7864,"BLA","Black Sea","CW","YES","NO","CW-BL1",NA,NA,"CW-BL1","CW-BL1 - Black Sea, mesohaline, microtidal, shallow, moderately exposed, mixed substratum","BG","CW2N","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2.6,3.7,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"253",7865,"BLA","Black Sea","CW","YES","NO","CW-BL1",NA,NA,"CW-BL1","CW-BL1 - Black Sea, mesohaline, microtidal, shallow, moderately exposed, mixed substratum","BG","CW5","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2.6,3.7,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"254",7866,"BLA","Black Sea","CW","YES","NO","CW-BL1",NA,NA,"CW-BL1","CW-BL1 - Black Sea, mesohaline, microtidal, shallow, moderately exposed, mixed substratum","BG","CW4N","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2.6,3.7,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
"255",7867,"BLA","Black Sea","CW","YES","NO","CW-BL1",NA,NA,"CW-BL1","CW-BL1 - Black Sea, mesohaline, microtidal, shallow, moderately exposed, mixed substratum","BG","CW9","BG2000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","AA-EQS",NA,2.6,3.7,"m",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ver7e_revised","ver3 final"
